date,state,current,target
2017-02-10 08:43:03.514273,cooking,71.1,71
2017-02-10 08:43:10.093532,cooking,71,71
2017-02-10 08:43:15.653910,cooking,71,71
2017-02-10 08:43:21.258702,cooking,71,71
2017-02-10 08:43:26.973971,cooking,71,71
2017-02-10 08:43:32.568877,cooking,71,71
2017-02-10 08:43:38.164142,cooking,71,71
2017-02-10 08:43:43.794706,cooking,71,71
2017-02-10 08:43:49.378464,cooking,71,71
2017-02-10 08:43:55.005066,cooking,71,71
2017-02-10 08:44:00.821970,cooking,71,71
2017-02-10 08:44:06.426135,cooking,71,71
2017-02-10 08:44:12.086841,cooking,71,71
2017-02-10 08:44:17.676071,cooking,71,71
2017-02-10 08:44:23.373042,cooking,71,71
2017-02-10 08:44:29.161736,cooking,71,71
2017-02-10 08:44:34.975280,cooking,71,71
2017-02-10 08:44:40.610384,cooking,71,71
2017-02-10 08:44:46.229737,cooking,71,71
2017-02-10 08:44:51.928508,cooking,71,71
2017-02-10 08:44:57.532241,cooking,71,71
2017-02-10 08:45:03.233243,cooking,71,71
2017-02-10 08:45:10.137688,cooking,71,71
2017-02-10 08:45:15.692148,cooking,71,71
2017-02-10 08:45:21.417285,cooking,71,71
2017-02-10 08:45:27.053716,cooking,71,71
2017-02-10 08:45:32.752265,cooking,71,71
2017-02-10 08:45:38.924323,cooking,71,71
2017-02-10 08:45:44.529498,cooking,71,71
2017-02-10 08:45:50.091519,cooking,71,71
2017-02-10 08:45:55.653796,cooking,71,71
2017-02-10 08:46:01.316010,cooking,71,71
2017-02-10 08:46:06.976070,cooking,71,71
2017-02-10 08:46:12.622008,cooking,71,71
2017-02-10 08:46:18.367052,cooking,71,71
2017-02-10 08:46:24.044088,cooking,71,71
2017-02-10 08:46:29.636405,cooking,71,71
2017-02-10 08:46:35.190395,cooking,71,71
2017-02-10 08:46:40.909559,cooking,71,71
2017-02-10 08:46:46.474750,cooking,71,71
2017-02-10 08:46:52.092843,cooking,71,71
2017-02-10 08:46:57.717549,cooking,71,71
2017-02-10 08:47:03.341939,cooking,71,71
2017-02-10 08:47:09.899513,cooking,71,71
